PA,SZ,AG,Pop,Time
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,170,2020
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,280,2020
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,340,2020
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,270,2020
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,260,2020
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,310,2020
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,330,2020
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,400,2020
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,480,2020
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,380,2020
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,310,2020
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,230,2020
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,290,2020
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,250,2020
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,240,2020
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,130,2020
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,100,2020
Ang Mo Kio,Ang Mo Kio Town Centre,85_to_89,30,2020
Ang Mo Kio,Ang Mo Kio Town Centre,90_and_over,10,2020
Ang Mo Kio,Cheng San,0_to_4,1060,2020
Ang Mo Kio,Cheng San,10_to_14,1040,2020
Ang Mo Kio,Cheng San,15_to_19,1160,2020
Ang Mo Kio,Cheng San,20_to_24,1330,2020
Ang Mo Kio,Cheng San,25_to_29,1720,2020
Ang Mo Kio,Cheng San,30_to_34,2020,2020
Ang Mo Kio,Cheng San,35_to_39,2150,2020
Ang Mo Kio,Cheng San,40_to_44,2080,2020
Ang Mo Kio,Cheng San,45_to_49,2200,2020
Ang Mo Kio,Cheng San,50_to_54,2050,2020
Ang Mo Kio,Cheng San,55_to_59,2130,2020
Ang Mo Kio,Cheng San,5_to_9,1050,2020
Ang Mo Kio,Cheng San,60_to_64,2110,2020
Ang Mo Kio,Cheng San,65_to_69,2180,2020
Ang Mo Kio,Cheng San,70_to_74,1750,2020
Ang Mo Kio,Cheng San,75_to_79,960,2020
Ang Mo Kio,Cheng San,80_to_84,650,2020
Ang Mo Kio,Cheng San,85_to_89,340,2020
Ang Mo Kio,Cheng San,90_and_over,170,2020
Ang Mo Kio,Chong Boon,0_to_4,850,2020
Ang Mo Kio,Chong Boon,10_to_14,1020,2020
Ang Mo Kio,Chong Boon,15_to_19,1070,2020
Ang Mo Kio,Chong Boon,20_to_24,1310,2020
Ang Mo Kio,Chong Boon,25_to_29,1610,2020
Ang Mo Kio,Chong Boon,30_to_34,1890,2020
Ang Mo Kio,Chong Boon,35_to_39,1720,2020
Ang Mo Kio,Chong Boon,40_to_44,1810,2020
Ang Mo Kio,Chong Boon,45_to_49,1820,2020
Ang Mo Kio,Chong Boon,50_to_54,1900,2020
Ang Mo Kio,Chong Boon,55_to_59,2100,2020
Ang Mo Kio,Chong Boon,5_to_9,850,2020
Ang Mo Kio,Chong Boon,60_to_64,2150,2020
Ang Mo Kio,Chong Boon,65_to_69,2100,2020
Ang Mo Kio,Chong Boon,70_to_74,1800,2020
Ang Mo Kio,Chong Boon,75_to_79,1120,2020
Ang Mo Kio,Chong Boon,80_to_84,800,2020
Ang Mo Kio,Chong Boon,85_to_89,430,2020
Ang Mo Kio,Chong Boon,90_and_over,220,2020
Ang Mo Kio,Kebun Bahru,0_to_4,680,2020
Ang Mo Kio,Kebun Bahru,10_to_14,960,2020
Ang Mo Kio,Kebun Bahru,15_to_19,1010,2020
Ang Mo Kio,Kebun Bahru,20_to_24,1170,2020
Ang Mo Kio,Kebun Bahru,25_to_29,1410,2020
Ang Mo Kio,Kebun Bahru,30_to_34,1420,2020
Ang Mo Kio,Kebun Bahru,35_to_39,1440,2020
Ang Mo Kio,Kebun Bahru,40_to_44,1630,2020
Ang Mo Kio,Kebun Bahru,45_to_49,1810,2020
Ang Mo Kio,Kebun Bahru,50_to_54,1720,2020
Ang Mo Kio,Kebun Bahru,55_to_59,1800,2020
Ang Mo Kio,Kebun Bahru,5_to_9,800,2020
Ang Mo Kio,Kebun Bahru,60_to_64,1780,2020
Ang Mo Kio,Kebun Bahru,65_to_69,1710,2020
Ang Mo Kio,Kebun Bahru,70_to_74,1450,2020
Ang Mo Kio,Kebun Bahru,75_to_79,830,2020
Ang Mo Kio,Kebun Bahru,80_to_84,630,2020
Ang Mo Kio,Kebun Bahru,85_to_89,350,2020
Ang Mo Kio,Kebun Bahru,90_and_over,150,2020
Ang Mo Kio,Sembawang Hills,0_to_4,210,2020
Ang Mo Kio,Sembawang Hills,10_to_14,400,2020
Ang Mo Kio,Sembawang Hills,15_to_19,450,2020
Ang Mo Kio,Sembawang Hills,20_to_24,500,2020
Ang Mo Kio,Sembawang Hills,25_to_29,500,2020
Ang Mo Kio,Sembawang Hills,30_to_34,340,2020
Ang Mo Kio,Sembawang Hills,35_to_39,300,2020
Ang Mo Kio,Sembawang Hills,40_to_44,370,2020
Ang Mo Kio,Sembawang Hills,45_to_49,550,2020
Ang Mo Kio,Sembawang Hills,50_to_54,540,2020
Ang Mo Kio,Sembawang Hills,55_to_59,550,2020
Ang Mo Kio,Sembawang Hills,5_to_9,320,2020
Ang Mo Kio,Sembawang Hills,60_to_64,480,2020
Ang Mo Kio,Sembawang Hills,65_to_69,410,2020
Ang Mo Kio,Sembawang Hills,70_to_74,360,2020
Ang Mo Kio,Sembawang Hills,75_to_79,230,2020
Ang Mo Kio,Sembawang Hills,80_to_84,150,2020
Ang Mo Kio,Sembawang Hills,85_to_89,100,2020
Ang Mo Kio,Sembawang Hills,90_and_over,60,2020
Ang Mo Kio,Shangri-La,0_to_4,560,2020
Ang Mo Kio,Shangri-La,10_to_14,640,2020
Ang Mo Kio,Shangri-La,15_to_19,700,2020
Ang Mo Kio,Shangri-La,20_to_24,860,2020
Ang Mo Kio,Shangri-La,25_to_29,970,2020
Ang Mo Kio,Shangri-La,30_to_34,1030,2020
Ang Mo Kio,Shangri-La,35_to_39,980,2020
Ang Mo Kio,Shangri-La,40_to_44,1010,2020
Ang Mo Kio,Shangri-La,45_to_49,1190,2020
Ang Mo Kio,Shangri-La,50_to_54,1200,2020
Ang Mo Kio,Shangri-La,55_to_59,1390,2020
Ang Mo Kio,Shangri-La,5_to_9,570,2020
Ang Mo Kio,Shangri-La,60_to_64,1280,2020
Ang Mo Kio,Shangri-La,65_to_69,1200,2020
Ang Mo Kio,Shangri-La,70_to_74,970,2020
Ang Mo Kio,Shangri-La,75_to_79,630,2020
Ang Mo Kio,Shangri-La,80_to_84,430,2020
